epoch,accuracy,loss,val_accuracy,val_loss
0,0.746999979019165,0.6882530450820923,0.8525000214576721,0.3195487856864929
1,0.8539999723434448,0.3528856039047241,0.8924999833106995,0.2631165087223053
2,0.8809999823570251,0.3045349717140198,0.9049999713897705,0.25788089632987976
3,0.906000018119812,0.22301940619945526,0.8987500071525574,0.27393046021461487
4,0.9240000247955322,0.18755631148815155,0.8974999785423279,0.2944473922252655
5,0.9340000152587891,0.1713077574968338,0.8924999833106995,0.3189404606819153
6,0.9430000185966492,0.15366941690444946,0.7712500095367432,0.9144955277442932
7,0.9480000138282776,0.1343768835067749,0.8924999833106995,0.3353112041950226
8,0.9629999995231628,0.11926964670419693,0.8999999761581421,0.34478673338890076
9,0.9700000286102295,0.08372120559215546,0.9075000286102295,0.3772676885128021
